model,threshold,precision,recall,f1,false_positives,false_negatives,true_positives,true_negatives
Random Forest,0.99,1.0,0.9521103896103896,0.9754677754677755,0,59,1173,953161
XGBoost,0.01,0.9753772835583797,0.9967532467532467,0.985949417904456,31,4,1228,953130
XGBoost,0.02,0.9903225806451613,0.9967532467532467,0.9935275080906149,12,4,1228,953149
XGBoost,0.03,0.9935275080906149,0.9967532467532467,0.9951377633711507,8,4,1228,953153
XGBoost,0.04,0.9959448499594485,0.9967532467532467,0.9963488843813387,5,4,1228,953156
XGBoost,0.05,0.9967532467532467,0.9967532467532467,0.9967532467532467,4,4,1228,953157
XGBoost,0.060000000000000005,0.9975629569455727,0.9967532467532467,0.9971579374746244,3,4,1228,953158
XGBoost,0.06999999999999999,0.9975629569455727,0.9967532467532467,0.9971579374746244,3,4,1228,953158
XGBoost,0.08,0.9983726606997559,0.9959415584415584,0.9971556277935798,2,5,1227,953159
XGBoost,0.09,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.09999999999999999,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.11,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.12,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.13,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.14,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.15000000000000002,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.16,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.17,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.18000000000000002,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.19,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.2,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.21000000000000002,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.22,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.23,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.24000000000000002,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.25,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.26,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.27,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
XGBoost,0.28,1.0,0.9959415584415584,0.9979666531110207,0,5,1227,953161
